iter	Passed	Remaining
0	16	16317
1	32	16104
2	47	15684
3	62	15581
4	77	15515
5	93	15443
6	108	15404
7	123	15324
8	138	15217
9	152	15109
10	167	15022
11	181	14983
12	196	14927
13	210	14853
14	225	14782
15	239	14731
16	254	14689
17	268	14640
18	283	14619
19	297	14594
20	305	14264
21	320	14245
22	334	14217
23	348	14179
24	362	14150
25	377	14145
26	391	14116
27	406	14108
28	421	14107
29	435	14090
30	449	14056
31	463	14035
32	478	14015
33	492	14004
34	507	13996
35	521	13969
36	536	13955
37	551	13962
38	566	13971
39	582	13968
40	596	13952
41	611	13945
42	625	13924
43	640	13909
44	654	13893
45	669	13887
46	683	13859
47	698	13847
48	713	13841
49	727	13827
50	742	13812
51	756	13795
52	771	13780
53	785	13766
54	799	13745
55	814	13726
56	828	13706
57	843	13695
58	858	13689
59	872	13676
60	887	13662
61	902	13650
62	916	13633
63	931	13622
64	946	13619
65	961	13606
66	976	13594
67	991	13585
68	1006	13574
69	1020	13559
70	1036	13568
71	1052	13566
72	1067	13560
73	1083	13558
74	1098	13554
75	1114	13547
76	1122	13460
77	1138	13455
78	1153	13444
79	1167	13430
80	1183	13423
81	1198	13417
82	1214	13413
83	1229	13403
84	1244	13397
85	1259	13390
86	1274	13378
87	1289	13364
88	1305	13358
89	1319	13344
90	1335	13336
91	1350	13327
92	1365	13312
93	1379	13300
94	1395	13294
95	1411	13290
96	1426	13281
97	1441	13265
98	1456	13251
99	1470	13238
100	1485	13221
101	1499	13204
102	1514	13187
103	1528	13170
104	1543	13155
105	1557	13139
106	1572	13125
107	1588	13116
108	1603	13103
109	1618	13091
110	1633	13082
111	1648	13068
112	1664	13062
113	1678	13048
114	1694	13038
115	1710	13031
116	1725	13021
117	1740	13009
118	1755	12999
119	1771	12991
120	1786	12979
121	1801	12966
122	1816	12953
123	1831	12941
124	1846	12926
125	1861	12913
126	1876	12898
127	1891	12885
128	1906	12874
129	1921	12862
130	1936	12848
131	1952	12837
132	1967	12825
133	1982	12813
134	1998	12802
135	2013	12789
136	2028	12775
137	2044	12767
138	2058	12753
139	2073	12739
140	2088	12723
141	2104	12714
142	2118	12698
143	2134	12685
144	2149	12674
145	2164	12660
146	2180	12650
147	2195	12637
148	2210	12624
149	2225	12610
150	2241	12600
151	2257	12592
152	2271	12576
153	2286	12559
154	2301	12546
155	2316	12531
156	2331	12519
157	2347	12510
158	2362	12495
159	2376	12478
160	2392	12465
161	2406	12449
162	2421	12433
163	2436	12418
164	2451	12405
165	2466	12392
166	2482	12382
167	2497	12366
168	2511	12351
169	2527	12338
170	2542	12325
171	2558	12314
172	2573	12301
173	2588	12287
174	2603	12273
175	2618	12259
176	2633	12245
177	2648	12230
178	2663	12216
179	2678	12204
180	2694	12191
181	2709	12179
182	2725	12168
183	2741	12159
184	2756	12142
185	2771	12129
186	2786	12115
187	2802	12103
188	2817	12091
189	2832	12077
190	2848	12063
191	2863	12051
192	2878	12037
193	2893	12022
194	2908	12008
195	2923	11991
196	2938	11977
197	2953	11963
198	2968	11949
199	2984	11936
200	2999	11923
201	3014	11909
202	3029	11894
203	3045	11881
204	3060	11869
205	3075	11853
206	3090	11839
207	3105	11824
208	3120	11810
209	3135	11796
210	3150	11782
211	3165	11767
212	3181	11754
213	3196	11741
214	3212	11727
215	3227	11712
216	3241	11695
217	3256	11681
218	3271	11668
219	3287	11654
220	3302	11640
221	3317	11624
222	3332	11611
223	3347	11598
224	3363	11585
225	3378	11570
226	3393	11557
227	3409	11545
228	3425	11532
